Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,xG,npxG,xAG,Sh,SoT,SoT%,G/Sh,G/SoT,G-xG,Cmp%,KP,PrgP,PrgC,Tkl,TklW,Int,Clr,Touches,Carries,Succ%,Recov,Goals_per_90,Assists_per_90,Goal_Contributions_per_90,xG_per_90,xAG_per_90,Shots_per_90,Shots_on_Target_per_90,Key_Passes_per_90,Progressive_Actions_per_90,Tackles_per_90,Interceptions_per_90,Recoveries_per_90,Clearances_per_90
Zain Silcott-Duberry,ms MSR,FW,Bournemouth,eng Premier League,19,1,0,1,0.0,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,50.0,0,0,0,1,1,0,0,3,1,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0
Kiliann Sildillia,fr FRA,DF,Freiburg,de Bundesliga,22,21,8,801,8.9,2,0,2,0.5,0.5,0.7,7,2,28.6,0.29,1.0,1.5,73.2,7,29,11,17,10,11,38,576,253,66.7,33,0.2247191011235955,0.0,0.2247191011235955,0.056179775280898875,0.07865168539325842,0.7865168539325843,0.2247191011235955,0.7865168539325843,4.4943820224719095,1.9101123595505618,1.2359550561797754,3.7078651685393256,4.269662921348314
André Silva,pt POR,FW,Werder Bremen,de Bundesliga,28,7,4,375,4.2,1,0,1,2.6,1.0,0.4,12,5,41.7,0.0,0.0,-1.6,70.7,5,10,6,2,2,0,3,176,103,6.3,10,0.24,0.0,0.24,0.624,0.096,2.88,1.2000000000000002,1.2000000000000002,3.84,0.48,0.0,2.4000000000000004,0.72
André Silva,pt POR,"FW,MF",RB Leipzig,de Bundesliga,28,8,0,132,1.5,1,2,3,1.3,0.5,0.6,7,2,28.6,0.0,0.0,-0.3,71.4,3,4,6,1,1,1,2,65,35,,7,0.6818181818181819,1.3636363636363638,2.0454545454545454,0.8863636363636365,0.40909090909090906,4.7727272727272725,1.3636363636363638,2.0454545454545454,6.818181818181818,0.6818181818181819,0.6818181818181819,4.7727272727272725,1.3636363636363638
Bernardo Silva,pt POR,"MF,FW",Manchester City,eng Premier League,29,33,29,2670,29.7,4,4,8,3.9,3.9,5.1,32,11,34.4,0.13,0.36,0.1,86.8,53,134,101,56,37,23,32,2054,1288,45.9,107,0.1348314606741573,0.1348314606741573,0.2696629213483146,0.13146067415730336,0.17191011235955056,1.0786516853932584,0.3707865168539326,1.7865168539325842,7.9213483146067425,1.8876404494382024,0.7752808988764045,3.6067415730337076,1.0786516853932584
Caio Henrique Oliveira Silva,br BRA,DF,Monaco,fr Ligue 1,27,27,21,1929,21.4,0,6,6,0.2,0.2,5.0,4,1,25.0,0.0,0.0,-0.2,74.1,35,102,57,37,26,22,59,1571,787,73.7,110,0.0,0.27993779160186627,0.27993779160186627,0.00933125972006221,0.2332814930015552,0.18662519440124417,0.04665629860031104,1.6329704510108864,7.4183514774494554,1.7262830482115086,1.026438569206843,5.132192846034215,2.7527216174183513
Fábio Silva,pt POR,FW,Las Palmas,es La Liga,22,24,22,1866,20.7,10,3,13,8.8,6.4,2.0,46,20,43.5,0.17,0.4,1.2,66.3,16,26,30,12,7,4,27,706,330,39.6,48,0.48231511254019294,0.14469453376205788,0.6270096463022509,0.4244372990353698,0.09646302250803858,2.2186495176848875,0.9646302250803859,0.7717041800643086,2.7009646302250805,0.5787781350482315,0.19292604501607716,2.315112540192926,1.3022508038585208
Jota Silva,pt POR,"FW,MF",Nott'ham Forest,eng Premier League,24,31,5,854,9.5,3,1,4,2.1,2.1,2.9,23,7,30.4,0.13,0.43,0.9,60.2,14,18,21,27,14,12,17,357,175,29.4,43,0.3161592505854801,0.1053864168618267,0.4215456674473068,0.2213114754098361,0.30562060889929743,2.423887587822014,0.7377049180327869,1.4754098360655739,4.110070257611241,2.8454332552693207,1.2646370023419204,4.531615925058548,1.791569086651054
Eric da Silva Moreira,de GER,"MF,DF",Nott'ham Forest,eng Premier League,18,2,0,30,0.3,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,87.5,0,0,1,2,2,1,0,13,4,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,6.0,0.0
Abdallah Sima,sn SEN,"FW,MF",Brest,fr Ligue 1,23,27,14,1238,13.8,7,2,9,5.9,5.9,1.0,37,18,48.6,0.19,0.39,1.1,69.6,13,24,36,15,11,1,9,510,299,26.1,61,0.5088852988691438,0.14539579967689822,0.654281098546042,0.4289176090468498,0.07269789983844911,2.6898222940226173,1.308562197092084,0.9450726978998385,4.361873990306947,1.0904684975767367,0.07269789983844911,4.434571890145396,0.654281098546042
