Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,xG,npxG,xAG,Sh,SoT,SoT%,G/Sh,G/SoT,G-xG,Cmp%,KP,PrgP,PrgC,Tkl,TklW,Int,Clr,Touches,Carries,Succ%,Recov
Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,22,35,28,2460,27.3,1,1,2,0.4,0.4,1.1,11,3,27.3,0.09,0.33,0.6,78.4,15,97,26,102,70,30,98,1887,847,21.6,127
Julian Araujo,mx MEX,DF,Bournemouth,eng Premier League,22,12,7,497,5.5,0,0,0,0.0,0.0,0.1,0,0,,,,0.0,79.1,1,14,4,10,5,6,18,275,126,0.0,29
Ronald Araújo,uy URU,DF,Barcelona,es La Liga,25,12,11,754,8.4,1,1,2,1.0,1.0,0.4,4,2,50.0,0.25,0.5,0.0,91.9,4,49,6,12,9,9,25,798,515,0.0,27
Cameron Archer,eng ENG,FW,Southampton,eng Premier League,23,35,13,1441,16.0,2,0,2,5.7,4.9,0.5,28,10,35.7,0.07,0.2,-3.7,81.7,5,14,22,13,8,2,11,398,226,40.5,35
Carlens Arcus,ht HAI,DF,Angers,fr Ligue 1,28,28,25,2047,22.7,0,1,1,0.0,0.0,1.4,3,0,0.0,0.0,,0.0,79.4,17,70,39,52,35,27,83,1249,566,44.4,81
Adu Ares,es ESP,FW,Athletic Club,es La Liga,22,1,0,19,0.2,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,55.6,0,3,1,0,0,0,0,11,8,0.0,1
Jesús Areso,es ESP,DF,Osasuna,es La Liga,25,36,35,3079,34.2,0,3,3,0.2,0.2,3.5,8,0,0.0,0.0,,-0.2,72.4,30,106,101,53,38,8,92,1902,904,37.5,118
David Argüelles,es ESP,MF,Getafe,es La Liga,22,1,0,7,0.1,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,60.0,0,0,1,0,0,0,0,7,3,,0
Joe Aribo,ng NGA,"MF,DF",Southampton,eng Premier League,28,32,21,2013,22.4,3,0,3,2.7,2.7,1.6,17,7,41.2,0.18,0.43,0.3,88.8,16,75,36,47,33,20,32,1271,745,42.9,112
Adam Armstrong,eng ENG,"FW,MF",Southampton,eng Premier League,27,20,15,1248,13.9,2,2,4,3.3,2.3,1.2,25,7,28.0,0.08,0.29,-1.3,80.2,9,21,25,12,3,3,8,377,235,42.9,23
Harrison Armstrong,eng ENG,MF,Everton,eng Premier League,17,3,0,48,0.5,0,0,0,0.4,0.4,0.1,1,0,0.0,0.0,,-0.4,46.7,1,1,1,0,0,0,1,20,15,100.0,2
José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,29,15,1,133,1.5,0,0,0,0.3,0.3,0.1,6,3,50.0,0.0,0.0,-0.3,67.5,3,4,6,7,5,5,1,117,55,20.0,16
Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,fr Ligue 1,21,25,21,1755,19.5,5,3,8,3.8,3.8,2.8,35,13,37.1,0.14,0.38,1.2,79.4,35,102,52,36,16,8,6,1136,715,55.1,71
Marko Arnautović,at AUT,FW,Inter,it Serie A,35,17,5,527,5.9,4,2,6,3.3,3.3,1.2,13,6,46.2,0.31,0.67,0.7,71.5,7,16,4,7,5,1,1,198,99,66.7,10
Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,30,28,27,2356,26.2,3,5,8,0.9,0.9,3.5,27,12,44.4,0.11,0.25,2.1,77.2,45,128,9,34,20,24,70,1576,787,16.7,154
Jann-Fiete Arp,de GER,"FW,MF",Holstein Kiel,de Bundesliga,24,23,3,713,7.9,2,0,2,3.8,2.2,1.0,20,9,45.0,0.05,0.11,-1.8,58.6,11,21,14,13,10,3,8,303,158,43.8,21
Sergio Arribas,es ESP,DF,Betis,es La Liga,21,1,1,90,1.0,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,68.5,0,1,0,7,4,3,4,71,33,,3
Arthur,br BRA,DF,Leverkusen,de Bundesliga,21,20,7,752,8.4,0,1,1,0.1,0.1,0.4,1,0,0.0,0.0,,-0.1,78.9,2,25,15,14,11,9,29,508,242,20.8,31
Takuma Asano,jp JPN,"FW,MF",Mallorca,es La Liga,29,21,13,1054,11.7,2,1,3,2.7,2.7,0.7,28,8,28.6,0.07,0.25,-0.7,67.6,6,20,28,13,9,6,9,356,207,24.0,42
Raúl Asencio,es ESP,DF,Real Madrid,es La Liga,21,23,18,1670,18.6,0,1,1,0.1,0.1,0.6,3,1,33.3,0.0,0.0,-0.1,93.8,6,27,5,22,16,16,88,1149,720,66.7,75
Marco Asensio,es ESP,MF,Aston Villa,eng Premier League,28,13,9,743,8.3,3,1,4,4.4,2.9,1.0,22,9,40.9,0.14,0.33,-1.4,77.3,16,45,22,7,5,2,3,386,242,63.2,28
Marco Asensio,es ESP,"FW,MF",Paris S-G,fr Ligue 1,28,12,8,618,6.9,2,4,6,5.6,5.6,2.7,26,14,53.8,0.08,0.14,-3.6,86.9,16,36,19,4,3,0,1,377,260,50.0,18
Kristjan Asllani,al ALB,MF,Inter,it Serie A,22,21,10,980,10.9,2,2,4,2.5,0.9,1.9,14,3,21.4,0.0,0.0,-0.5,89.2,15,55,7,14,3,9,13,1061,700,16.7,49
Iago Aspas,es ESP,"FW,MF",Celta Vigo,es La Liga,36,30,19,1745,19.4,10,5,15,8.7,4.0,4.6,46,18,39.1,0.11,0.28,1.3,75.4,38,132,50,13,8,8,5,1038,724,55.6,55
Yaser Asprilla,co COL,"FW,MF",Girona,es La Liga,20,27,15,1405,15.6,3,1,4,2.1,2.1,2.8,38,11,28.9,0.08,0.27,0.9,72.1,24,77,72,22,12,7,7,831,534,45.3,62
Lorenz Assignon,tg TOG,"DF,MF",Rennes,fr Ligue 1,24,32,27,2357,26.2,3,4,7,2.2,2.2,3.5,22,5,22.7,0.14,0.6,0.8,78.0,29,116,98,49,27,25,74,1638,807,36.4,110
Dehmaine Assoumani,fr FRA,"MF,FW",Nantes,fr Ligue 1,19,12,0,98,1.1,0,0,0,0.1,0.1,0.9,3,2,66.7,0.0,0.0,-0.1,76.0,5,1,4,6,3,1,4,77,48,50.0,8
Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,18,34,33,2854,31.7,1,0,1,2.5,2.5,1.1,33,6,18.2,0.03,0.17,-1.5,86.0,12,93,41,69,50,37,64,1433,735,29.2,117
Arthur Atta,fr FRA,"MF,FW",Udinese,it Serie A,21,27,12,1251,13.9,0,1,1,1.3,1.3,1.4,26,7,26.9,0.0,0.0,-1.3,80.4,18,57,31,20,12,7,15,813,515,44.3,57
Tommaso Augello,it ITA,DF,Cagliari,it Serie A,29,38,30,2713,30.1,0,7,7,0.3,0.3,4.6,8,0,0.0,0.0,,-0.3,71.9,39,118,58,49,28,16,109,1902,882,55.8,135
Carlos Augusto,br BRA,DF,Inter,it Serie A,25,28,15,1625,18.1,3,2,5,2.8,2.8,1.6,24,6,25.0,0.13,0.5,0.2,88.3,9,80,31,29,14,9,50,1413,837,58.3,70
Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,23,26,16,1553,17.3,3,2,5,2.6,2.6,0.9,21,5,23.8,0.14,0.6,0.4,91.8,7,93,32,17,11,17,64,1465,998,20.0,66
Ezequiel Ávila,ar ARG,FW,Betis,es La Liga,30,19,6,677,7.5,2,0,2,1.5,1.5,1.0,20,10,50.0,0.1,0.2,0.5,69.7,15,18,12,8,3,2,8,323,173,45.5,28
Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,26,26,3,416,4.6,1,0,1,2.1,2.1,0.1,10,4,40.0,0.1,0.25,-1.1,63.5,2,7,6,6,3,0,7,167,90,44.4,18
Yasin Ayari,se SWE,MF,Brighton,eng Premier League,20,34,22,1965,21.8,2,1,3,2.4,2.4,2.3,28,8,28.6,0.07,0.25,-0.4,81.5,30,75,30,59,32,20,26,1233,655,40.0,118
Florian Ayé,fr FRA,FW,Auxerre,fr Ligue 1,27,26,4,575,6.4,2,0,2,1.9,1.9,0.1,12,3,25.0,0.17,0.67,0.1,73.6,3,7,5,2,2,7,6,187,89,100.0,14
André Ayew,gh GHA,FW,Le Havre,fr Ligue 1,34,27,15,1453,16.1,4,1,5,4.3,4.3,0.2,22,9,40.9,0.18,0.44,-0.3,76.1,8,18,5,18,10,3,21,378,159,38.5,26
Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,32,1,0,21,0.2,0,0,0,0.5,0.5,0.0,1,0,0.0,0.0,,-0.5,80.0,1,0,0,1,0,0,0,12,6,,1
Jordan Ayew,gh GHA,"FW,MF",Leicester City,eng Premier League,32,30,19,1638,18.2,5,0,5,3.2,2.4,1.1,31,8,25.8,0.13,0.5,1.8,74.3,16,46,49,27,15,12,19,798,479,40.6,93
Neil El Aynaoui,fr FRA,MF,Lens,fr Ligue 1,23,24,17,1588,17.6,8,1,9,4.0,1.6,2.0,16,7,43.8,0.31,0.71,4.0,84.5,22,75,11,39,21,30,29,1196,582,23.8,90
Ayman Azhil,ma MAR,MF,Dortmund,de Bundesliga,23,1,0,24,0.3,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,75.0,0,1,0,1,1,0,0,9,4,0.0,2
